strategy,regime,count,ann_return,ann_sharpe,max_drawdown
trend_mom_5,high_vol|neutral|bear,45,4.847860517105069,2.2838231734059793,-0.2637499633997228
trend_mom_5,high_vol|neutral|bull,155,-0.35986324581947104,-0.6820174666669694,-0.4150427140061569
trend_mom_5,high_vol|trending|bear,86,6.1536482823061585,2.704646772988411,-0.3728000673237829
trend_mom_5,high_vol|trending|bull,24,4.2920841053788505,2.637767870863059,-0.14465473799435313
trend_mom_5,high_vol|weak_trend|bear,44,0.980366775056716,1.978462316617462,-0.18068621268071006
trend_mom_5,high_vol|weak_trend|bull,138,-0.7300342794980617,-2.8853954750282984,-0.5504352864350752
trend_mom_5,low_vol|neutral|bear,56,0.43955915374646426,1.746345433714512,-0.09246424744275605
trend_mom_5,low_vol|neutral|bull,107,0.5247498520733858,2.1244464387161073,-0.12300274329142435
trend_mom_5,low_vol|trending|bear,74,0.2803320247829362,1.4739727899418107,-0.04616047866699091
trend_mom_5,low_vol|trending|bull,332,0.2595511708627236,1.2032463256307993,-0.1135147927341833
trend_mom_5,low_vol|weak_trend|bear,102,-0.15502687879492716,-0.4433282647023563,-0.15695119923174594
trend_mom_5,low_vol|weak_trend|bull,99,-0.3362478287640476,-1.55078290798384,-0.18259977126712856
trend_mom_5,mid_vol|neutral|bear,150,-0.43523699443188024,-1.027660609352982,-0.375443029545685
trend_mom_5,mid_vol|neutral|bull,244,-0.16781813374985688,-0.45833501435300644,-0.21666808153326778
trend_mom_5,mid_vol|trending|bear,106,-0.4396979685732496,-1.5099779232553212,-0.2964650587311013
trend_mom_5,mid_vol|trending|bull,98,-0.27617306052413737,-0.8811093210638766,-0.2983673524663445
trend_mom_5,mid_vol|weak_trend|bear,97,0.8625735494940521,1.873235662687851,-0.1406457709680069
trend_mom_5,mid_vol|weak_trend|bull,217,-0.015077169120682243,0.113528106392334,-0.15956318535825031
trend_slope_5,high_vol|neutral|bear,45,4.361349772931754,2.1933231434829557,-0.2637499633997229
trend_slope_5,high_vol|neutral|bull,155,0.4208482046448816,0.9698085150904222,-0.2155200032450214
trend_slope_5,high_vol|trending|bear,86,5.170606131693361,2.525904867739703,-0.21018593371059002
trend_slope_5,high_vol|trending|bull,24,1.491503078075079,1.5966853404813544,-0.1720800046882326
trend_slope_5,high_vol|weak_trend|bear,44,1.9588034221527781,3.0667880267542915,-0.12655421647482945
trend_slope_5,high_vol|weak_trend|bull,138,-0.7916432805236153,-3.525305274943145,-0.6268235747831016
trend_slope_5,low_vol|neutral|bear,56,0.5826773701504444,2.174679572397293,-0.11114967963413991
trend_slope_5,low_vol|neutral|bull,107,0.17534306214078854,0.871213519812631,-0.09150453917331025
trend_slope_5,low_vol|trending|bear,74,-0.07740652595034248,-0.3589662649978593,-0.13270524702618447
trend_slope_5,low_vol|trending|bull,332,0.2368150584662745,1.1158780491632174,-0.12441547748797843
trend_slope_5,low_vol|weak_trend|bear,102,0.09990485447954955,0.47327973101469856,-0.12155819257985301
trend_slope_5,low_vol|weak_trend|bull,99,-0.3944165926261026,-1.9305734411190032,-0.22579373057025365
trend_slope_5,mid_vol|neutral|bear,150,-0.45101524932443093,-1.0686887990835343,-0.4133016866799887
trend_slope_5,mid_vol|neutral|bull,244,-0.11083048721580357,-0.239000399692777,-0.19099938264750382
trend_slope_5,mid_vol|trending|bear,106,0.06170048635546865,0.3447155212726046,-0.21574610596670996
trend_slope_5,mid_vol|trending|bull,98,0.014229474448971047,0.19843721275854886,-0.14661842559661786
trend_slope_5,mid_vol|weak_trend|bear,97,0.3537569145516952,1.00285526840427,-0.15563177806618067
trend_slope_5,mid_vol|weak_trend|bull,217,-0.0709118742791941,-0.06665913100520378,-0.34326104183964934
trend_donchian_5,high_vol|neutral|bear,45,10.036643705865838,2.960656711028366,-0.2637499633997229
trend_donchian_5,high_vol|neutral|bull,155,-0.3484253670084638,-0.647840697973458,-0.39563709519518087
trend_donchian_5,high_vol|trending|bear,86,1.2612828748643885,1.364902448643414,-0.41025673420533615
trend_donchian_5,high_vol|trending|bull,24,4.700493885878967,2.741355132817148,-0.1720800046882326
trend_donchian_5,high_vol|weak_trend|bear,44,0.6991390259804011,1.5725003295308948,-0.18043878507092947
trend_donchian_5,high_vol|weak_trend|bull,138,-0.6901779965732459,-2.54851738664799,-0.5707454346891734
trend_donchian_5,low_vol|neutral|bear,56,0.19842197963966757,0.91806176776926,-0.12719130845990612
trend_donchian_5,low_vol|neutral|bull,107,1.0411457314243067,3.5788063297317345,-0.05989201438855152
trend_donchian_5,low_vol|trending|bear,74,-0.03822324169268121,-0.1284224584157425,-0.06123572778973119
trend_donchian_5,low_vol|trending|bull,332,0.311495638928337,1.3963588183473408,-0.11827549425772921
trend_donchian_5,low_vol|weak_trend|bear,102,0.08088271563844263,0.4120272471738521,-0.11387593683071084
trend_donchian_5,low_vol|weak_trend|bull,99,-0.20939561539973217,-0.835822947149313,-0.14620819225830783
trend_donchian_5,mid_vol|neutral|bear,150,-0.4905386421901876,-1.255219594365003,-0.4173876677744093
trend_donchian_5,mid_vol|neutral|bull,244,0.015279302777129189,0.2005504545624499,-0.1553439675668281
trend_donchian_5,mid_vol|trending|bear,106,-0.26735723455604277,-0.7288186138883032,-0.23305383984408035
trend_donchian_5,mid_vol|trending|bull,98,-0.07297962174571371,-0.08774054182627802,-0.2755448818246664
trend_donchian_5,mid_vol|weak_trend|bear,97,0.1964166778520713,0.669081780693962,-0.15771269618739014
trend_donchian_5,mid_vol|weak_trend|bull,217,-0.062417398396429125,-0.03880943306102632,-0.27677832548252934
