date,OLS,Ridge,Lasso,WeightedVoting
2016-01-04,0.0,0.0,0.0,0.0
2016-01-05,6.103652779369697e-06,6.094266000588356e-06,-0.0,-0.0
2016-01-06,8.42636031156675e-05,8.411863895256354e-05,-0.0,0.01371808072994755
2016-01-07,1.9689458044888586e-05,1.965558315832498e-05,-0.0,0.0032070684484067154
2016-01-08,8.320619121932243e-06,8.30630384579555e-06,-0.0,0.0013552833702340475
2016-01-11,8.370220428173659e-05,8.355819815070427e-05,-0.0,0.013633625557496643
2016-01-12,3.0707831664343596e-05,3.06550001282052e-05,-0.0,0.0050017688564702335
2016-01-13,2.502454511517686e-05,2.498149143512382e-05,-0.0,0.004076060848990638
2016-01-14,-2.7822413675550614e-05,-2.777454638001428e-05,0.0,-0.004531784717179746
2016-01-15,8.821122684723647e-05,8.805946313204055e-05,-0.0,0.014368066493859672
2016-01-18,1.8921933170774212e-05,1.8889378778557688e-05,-0.0,0.0030820520664663017
2016-01-19,-1.0327913840052417e-05,-1.0310145097562256e-05,0.0,-0.0016822365825804816
2016-01-20,4.29628629905074e-05,4.288894718708949e-05,-0.0,0.0069978991821893245
2016-01-21,-6.899652558291904e-05,-6.887781995516252e-05,0.0,-0.011238327623959673
2016-01-22,-0.00014065046554189846,-0.00014040848231643399,0.0,-0.022909501585303332
2016-01-25,7.330315478769099e-05,7.317703978505728e-05,-0.0,0.011939802220676496
2016-01-26,-5.984707606144198e-05,-5.974411167775387e-05,0.0,-0.00974804227361015
2016-01-27,-5.7400497480312884e-05,-5.730174233243593e-05,0.0,-0.009349537400789453
2016-01-28,-3.351185911458111e-05,-3.3454203366847785e-05,0.0,-0.005458495900130918
2016-01-29,-4.801391745468726e-05,-4.7931311523963126e-05,0.0,-0.007820627637504041
2016-02-01,6.827404374675575e-05,6.815658111868914e-05,-0.0,0.011120647965330991
2016-02-02,6.233174079368286e-05,6.222450164855839e-05,-0.0,0.010152750714516542
2016-02-03,-2.044419044223768e-05,-2.0412710967735416e-05,0.0,-3.430561030905082e-05
2016-02-04,4.733490997125668e-06,4.726211383677853e-06,-0.0,-0.0
2016-02-05,1.6130648404966695e-05,1.6102904132161703e-05,-0.0,0.002620413701670099
2016-02-08,4.864484094700001e-05,4.856114953887555e-05,-0.0,0.007923394042802845
2016-02-09,0.00010932200306188779,0.00010913391914184364,-0.0,0.017806642820594028
2016-02-10,-5.0721873294043934e-06,-5.064348385886128e-06,0.0,-3.430561030905082e-05
2016-02-11,7.232657382969111e-06,7.221534313340274e-06,-0.0,-0.0
2016-02-12,-0.000154310926488457,-0.0001540454331819404,0.0,-0.02514153870409214
2016-02-15,-4.2488604836302673e-07,-4.2419416753529233e-07,0.0,-3.430561030905082e-05
2016-02-16,1.0363026545865079e-05,1.0347089296285614e-05,-0.0,-0.0
2016-02-17,-2.0616721508922788e-05,-2.0585015150288674e-05,0.0,0.0
2016-02-18,1.823564987438435e-06,1.8207605354571e-06,-0.0,-0.0
2016-02-19,1.0594502482843582e-05,1.0578209247513916e-05,-0.0,-0.0
2016-02-22,-1.4553968036122605e-05,-1.453158555741943e-05,0.0,0.0
2016-02-23,1.1705816286407782e-05,1.1687813966828442e-05,-0.0,-0.0
2016-02-24,-9.798728168422535e-06,-9.783658750652512e-06,0.0,0.0
2016-02-25,-7.313338223379773e-06,-7.302091075067531e-06,0.0,0.0
2016-02-26,1.5396414761661448e-06,1.5372736688118013e-06,-0.0,-0.0
2016-02-29,-9.1180588235284e-06,-9.104036203929031e-06,0.0,0.0
2016-03-01,-1.876739266660454e-06,-1.8738530382062496e-06,0.0,0.0
2016-03-02,-9.322514939115506e-07,-9.308177887421639e-07,0.0,0.0
2016-03-03,-1.0840926186307723e-06,-1.082425397712838e-06,0.0,0.0
2016-03-04,-6.266495235586787e-05,-6.25571321031588e-05,0.0,-0.010214011933469554
2016-03-07,-1.5825067273153413e-05,-1.580069152635639e-05,0.0,-3.430561030905082e-05
2016-03-08,8.332568399884676e-06,8.319753782297895e-06,-0.0,-0.0
2016-03-09,-1.0241482143139823e-05,-1.0225731816123244e-05,0.0,0.0
2016-03-10,7.102203766071023e-06,7.09128132044347e-06,-0.0,-0.0
2016-03-11,6.8968783769528395e-06,6.884134004793467e-06,0.0,0.0019072520268240535
2016-03-14,-1.77188571272039e-05,-1.7686149346443374e-05,-0.0,-0.0048696583091167355
2016-03-15,5.547301942151842e-06,5.538809223276096e-06,-0.0,-3.430561030905082e-05
2016-03-16,-1.1736947644663128e-05,-1.1718897448314963e-05,0.0,0.0
2016-03-17,2.4799388507114345e-05,2.475359734349451e-05,0.0,0.0068273835332484005
2016-03-18,1.115698861731099e-05,1.1137809148588683e-05,-0.0,0.0018033046043019968
2016-03-21,-1.1587269954390269e-05,-1.156733454253729e-05,0.0,-0.0018873636739607086
2016-03-22,-8.450315821053295e-06,-8.435777407186737e-06,0.0,-0.001376408694794294
