date,rolling_exposure,rolling_trade_density,rolling_sharpe,rolling_drawdown
2018-06-15,73.4126984126984,40.0,2.430528642502073,-0.08230431972881158
2018-06-18,73.80952380952381,39.0,2.552922691592069,-0.08230431972881158
2018-06-19,74.20634920634922,39.0,2.5328630525652187,-0.08230431972881158
2018-06-20,74.60317460317461,39.0,2.5063815221149444,-0.08230431972881158
2018-06-21,75.0,39.0,2.360010270425263,-0.0871777036518201
2018-06-22,75.39682539682539,39.0,2.5082029428409127,-0.0871777036518201
2018-06-25,75.79365079365078,39.0,2.444012264740993,-0.0871777036518201
2018-06-26,76.19047619047619,39.0,2.544222179351363,-0.0871777036518201
2018-06-27,76.19047619047619,38.0,2.475254273487544,-0.0871777036518201
2018-06-28,76.5873015873016,37.0,2.4922583559616664,-0.0871777036518201
2018-06-29,76.5873015873016,36.0,2.462036432918835,-0.0871777036518201
2018-07-02,76.98412698412699,35.0,2.306502050786092,-0.0871777036518201
2018-07-03,76.98412698412699,36.0,2.3056729397595315,-0.0871777036518201
2018-07-04,76.98412698412699,36.0,2.3056729397595315,-0.0871777036518201
2018-07-05,76.5873015873016,35.0,2.392544271477494,-0.0871777036518201
2018-07-06,76.98412698412699,35.0,2.3719653524898705,-0.0871777036518201
2018-07-09,76.98412698412699,34.0,2.3842589281743374,-0.0871777036518201
2018-07-10,77.38095238095238,33.0,2.437562557415977,-0.0871777036518201
2018-07-11,77.38095238095238,34.0,2.4367299904273083,-0.0871777036518201
2018-07-12,76.98412698412699,33.0,2.395161176596088,-0.0871777036518201
2018-07-13,76.98412698412699,34.0,2.2058647275963628,-0.0871777036518201
2018-07-16,76.98412698412699,34.0,2.2058647275963628,-0.0871777036518201
2018-07-17,76.98412698412699,34.0,2.2058647275963628,-0.0871777036518201
2018-07-18,76.98412698412699,34.0,2.2058647275963628,-0.0871777036518201
2018-07-19,76.98412698412699,34.0,2.2058647275963628,-0.0871777036518201
2018-07-20,77.38095238095238,35.0,2.1660142874107713,-0.0871777036518201
2018-07-23,77.38095238095238,36.0,2.165181810032376,-0.0871777036518201
2018-07-24,76.98412698412699,35.0,2.076929887883075,-0.0871777036518201
2018-07-25,77.38095238095238,35.0,2.0384415768701727,-0.0871777036518201
2018-07-26,77.38095238095238,34.0,1.955731221574824,-0.0871777036518201
2018-07-27,77.38095238095238,34.0,1.955731221574824,-0.0871777036518201
2018-07-30,76.98412698412699,33.0,1.951299925571577,-0.0871777036518201
2018-07-31,76.5873015873016,33.0,1.9275489110716504,-0.0871777036518201
2018-08-01,76.19047619047619,33.0,1.9904655434460718,-0.0871777036518201
2018-08-02,75.79365079365078,33.0,1.912881188830002,-0.0871777036518201
2018-08-03,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-06,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-07,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-08,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-09,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-10,75.79365079365078,32.0,1.9137159931047696,-0.0871777036518201
2018-08-13,75.39682539682539,31.0,2.0391885811173966,-0.0871777036518201
2018-08-14,75.39682539682539,32.0,2.0275283011396703,-0.0871777036518201
2018-08-15,75.39682539682539,32.0,2.07183391225943,-0.0871777036518201
2018-08-16,75.0,33.0,2.13063798237977,-0.0871777036518201
2018-08-17,74.60317460317461,33.0,2.092429312585442,-0.0871777036518201
2018-08-20,74.20634920634922,33.0,2.151275635258388,-0.0871777036518201
2018-08-21,74.20634920634922,34.0,2.1048712574436075,-0.0871777036518201
2018-08-22,73.80952380952381,35.0,2.24372958490643,-0.0871777036518201
2018-08-23,73.4126984126984,35.0,2.063361117387985,-0.0871777036518201
2018-08-24,73.01587301587301,35.0,2.0755834857814874,-0.0871777036518201
2018-08-27,73.01587301587301,36.0,2.091080439815468,-0.0871777036518201
2018-08-28,73.01587301587301,36.0,2.0081926333269573,-0.0871777036518201
2018-08-29,72.61904761904762,37.0,1.9253184852245846,-0.0871777036518201
2018-08-30,72.61904761904762,38.0,1.8442580036664928,-0.0871777036518201
2018-08-31,72.61904761904762,38.0,1.953504773617441,-0.0871777036518201
2018-09-03,72.61904761904762,38.0,1.9071696025701135,-0.0871777036518201
2018-09-04,72.61904761904762,38.0,1.860964425470513,-0.0871777036518201
2018-09-05,72.61904761904762,38.0,1.836582975709586,-0.0871777036518201
2018-09-06,72.22222222222221,39.0,1.8037434725965933,-0.0871777036518201
2018-09-07,71.82539682539682,39.0,1.7881246737976377,-0.0871777036518201
2018-09-10,71.42857142857143,39.0,1.8030607254674635,-0.0871777036518201
2018-09-11,71.03174603174604,39.0,1.840143509079096,-0.0871777036518201
2018-09-12,71.03174603174604,40.0,1.6768573813524241,-0.0871777036518201
2018-09-13,70.63492063492063,41.0,1.6615200742567255,-0.0871777036518201
2018-09-14,70.63492063492063,42.0,1.6106176497519948,-0.0871777036518201
2018-09-17,70.63492063492063,42.0,1.4198380362186414,-0.0871777036518201
2018-09-18,70.63492063492063,42.0,1.5528047328580783,-0.0871777036518201
2018-09-19,70.63492063492063,42.0,1.638491727184981,-0.0871777036518201
2018-09-20,70.63492063492063,43.0,1.7410049812732495,-0.0871777036518201
