strategy,parameter_template,sharpe,cagr,drawdown,param_1,param_2,param_3
vol_highmr_20_20_0.6,vol_highmr_{p}_{p}_{p},-0.2141111319744901,-0.11494394659104468,-0.8126572179733789,20.0,20.0,0.6
vol_highmr_120_60_0.5,vol_highmr_{p}_{p}_{p},-0.22746256733227252,-0.10505782290801557,-0.718619939588216,120.0,60.0,0.5
vol_highmr_120_20_0.6,vol_highmr_{p}_{p}_{p},-0.23020285419133202,-0.11940019407288938,-0.7933169718271754,120.0,20.0,0.6
vol_highmr_120_10_0.6,vol_highmr_{p}_{p}_{p},-0.23624558640740967,-0.12238862133642592,-0.7947994989148138,120.0,10.0,0.6
vol_highmr_120_10_0.5,vol_highmr_{p}_{p}_{p},-0.2852224959558161,-0.13007267930837163,-0.7972179348435993,120.0,10.0,0.5
vol_highmr_120_20_0.4,vol_highmr_{p}_{p}_{p},-0.28828749600863834,-0.11763570802742573,-0.7630963409105423,120.0,20.0,0.4
vol_highmr_120_60_0.6,vol_highmr_{p}_{p}_{p},-0.3179361501871134,-0.13589481698777672,-0.8046218243770962,120.0,60.0,0.6
vol_highmr_20_60_0.6,vol_highmr_{p}_{p}_{p},-0.3201401621338611,-0.13673311753923711,-0.8291898633626565,20.0,60.0,0.6
vol_highmr_120_10_0.4,vol_highmr_{p}_{p}_{p},-0.43807280525842596,-0.15985644539833266,-0.8214939599559289,120.0,10.0,0.4
vol_lowtrend_20_10_0.4,vol_lowtrend_{p}_{p}_{p},0.9762720722400328,0.15691261253989475,-0.2862014885435231,20.0,10.0,0.4
vol_lowtrend_20_10_0.5,vol_lowtrend_{p}_{p}_{p},0.6933789401693833,0.11717907285125673,-0.359878369804999,20.0,10.0,0.5
vol_lowtrend_20_20_0.5,vol_lowtrend_{p}_{p}_{p},0.6269007006785937,0.10861807430491233,-0.3578546068034145,20.0,20.0,0.5
vol_lowtrend_20_10_0.6,vol_lowtrend_{p}_{p}_{p},0.6195837250314765,0.11513682056463415,-0.353309484267625,20.0,10.0,0.6
vol_lowtrend_60_10_0.4,vol_lowtrend_{p}_{p}_{p},0.5713570997294323,0.08319708603601383,-0.21128860965922625,60.0,10.0,0.4
vol_lowtrend_20_60_0.6,vol_lowtrend_{p}_{p}_{p},0.5708454182893078,0.1089602996709309,-0.3930538313853239,20.0,60.0,0.6
vol_lowtrend_20_20_0.4,vol_lowtrend_{p}_{p}_{p},0.4988331195628305,0.07198770862349413,-0.27231155095894444,20.0,20.0,0.4
