sharpe,sortino,ann_return,ann_vol,max_drawdown,calmar,hit_rate,skew,kurtosis,turnover,avg_holding_period,rolling_sharpe_stability,strategy,family
0.9762720722400328,0.9320300459647308,0.15691261253989475,0.16291493676810542,-0.2862014885435231,0.5482592467910402,0.21711131554737811,0.12436680124923205,7.96802811831374,0.12655315232397607,6.13768115942029,1.6500949136232794,vol_lowtrend_20_10_0.4,volatility_regime
0.7332772706827222,0.6630579262459795,0.11242875443300893,0.16341851213974884,-0.24073288406413984,0.4670269908060706,0.11499540018399264,1.189752332534577,43.18332889226063,0.4035895075931891,1.0,1.3858518364228813,time_dow_3_1,time_calendar
0.6933789401693833,0.7032767604438327,0.11717907285125673,0.18438282912715825,-0.359878369804999,0.32560743485201654,0.25712971481140756,-0.18167776272051658,6.188535028074785,0.1329958582604694,7.110344827586207,1.6807804550830443,vol_lowtrend_20_10_0.5,volatility_regime
0.6629942925017043,0.8385761737479064,0.14390610137776827,0.24960785554458897,-0.44289209750387803,0.3249236150035016,0.3647654093836247,0.4632205592653533,7.724289775847662,0.17073170731707318,8.043010752688172,1.5783839544520055,ts_drawdown_vol_gate_20,time_series
0.6269007006785937,0.6952098221936767,0.10861807430491233,0.19454118132495807,-0.3578546068034145,0.3035257119500422,0.2704691812327507,0.6714330556245707,13.186598147546288,0.12195121951219512,8.278195488721805,1.4796871583523918,vol_lowtrend_20_20_0.5,volatility_regime
0.6195837250314765,0.7096418275352845,0.11513682056463415,0.21210520992245724,-0.353309484267625,0.3258809222259496,0.29944802207911686,0.3988411652490513,9.964176667245368,0.16336861481822365,6.859550561797753,1.5995931934306482,vol_lowtrend_20_10_0.6,volatility_regime
0.6129327652372432,0.5117493387980726,0.14449832933546247,0.28695293013860174,-0.4413156104736735,0.3274262815676108,0.21527138914443422,1.1619043887541978,49.49594388619235,0.07731247123791993,10.273809523809524,1.184719865844164,stat_entropy_120,stat_structure
0.5713570997294323,0.5479001866139728,0.08319708603601383,0.16313554903531505,-0.21128860965922625,0.3937603932829284,0.21573137074517018,0.2612014374467591,7.926240490800938,0.0980211688909342,7.91588785046729,1.0974803979069554,vol_lowtrend_60_10_0.4,volatility_regime
0.5708454182893078,0.6757920247404562,0.1089602996709309,0.2256556972004153,-0.3930538313853239,0.27721469928590076,0.3012879484820607,0.3649154246197692,6.562676035393274,0.1155085135757018,9.865079365079366,1.5771507532978382,vol_lowtrend_20_60_0.6,volatility_regime
0.5636625213807737,0.795265772391059,0.1556410935500443,0.39368407130668914,-0.4963029933517078,0.313600956743444,0.516559337626495,0.44837706010406786,14.121863504817842,1.0230096640589048,1.9451438848920863,1.2172573938466897,micro_lag_revert_1,microstructure_proxy
0.5539215059666218,0.7700285154920613,0.1493097772372387,0.3832600699170584,-0.5529514940466316,0.2700232820500835,0.5133394664213431,0.5251755672822465,15.513493478630757,0.04555913483663138,42.66,1.3161003627551362,trend_donchian_20,trend_following
0.5531241890018084,0.39428986592731496,0.07149279573375211,0.14335906823677474,-0.21935398036777132,0.3259243147243582,0.09199632014719411,0.7056738964649206,18.54488709891799,0.10906580763920846,3.26890756302521,1.144606887760362,hybrid_mr_lowtrend,hybrid
0.4988331195628305,0.5042329274360132,0.07198770862349413,0.16714784107885544,-0.27231155095894444,0.26435789583557967,0.2125114995400184,1.2371357597962533,22.07642181970537,0.0980211688909342,8.102803738317757,1.3933315461422682,vol_lowtrend_20_20_0.4,volatility_regime
0.4890105455923704,0.5482539075745925,0.08399012062323008,0.20985176716989434,-0.3231024780191194,0.2599488593770552,0.26494940202391903,0.30783876722324405,7.0116960060694495,0.10998619420156466,9.225,1.3138630907252944,vol_lowtrend_20_60_0.5,volatility_regime
0.48839375273581115,0.23558794135694228,0.046224999546960355,0.10331899168104364,-0.15525071605243934,0.29774419546669983,0.04645814167433303,3.230704991927726,77.74608342384266,0.008283479061205707,20.22222222222222,1.1539222148032489,time_month_02_1,time_calendar
0.4871853174977613,0.7477293132990943,0.08739713400971949,0.22272035641601148,-0.4526244276591981,0.19308974211027727,0.5105795768169273,0.4004786923161036,5.128698479963722,0.1491183587295249,1.0,1.654185580734078,risk_voltarget_20_20,risk_managed_alpha
0.48718531748618654,0.7477293132718287,0.06979136080442783,0.16704026731200858,-0.35912908030277646,0.19433503058397114,0.5105795768169273,0.40047869231610345,5.128698479963722,0.11183876904714365,1.0,1.654185580695159,risk_voltarget_20_15,risk_managed_alpha
0.4871853174630369,0.7477293132172977,0.04923628973222671,0.11136017820800574,-0.2531892098002352,0.1944644077481793,0.5105795768169273,0.4004786923161036,5.128698479963722,0.07455917936476245,1.0,1.654185580617317,risk_voltarget_20_10,risk_managed_alpha
0.476658137714456,0.663264412591819,0.11578003169259055,0.3834627510105357,-0.6292018370784409,0.18401095621399552,0.5096596136154554,0.5069823171078698,15.489060921368015,0.05844454670961804,33.34375,1.4785873237494276,trend_ma_cross_10_40,trend_following
0.4663556797662235,0.6662263612911856,0.11214717433127497,0.39011978157646043,-0.7574790875167035,0.14805316236358,0.514719411223551,0.6109554207837468,14.574341031588908,0.09249884951679706,21.326732673267326,1.4214450347734209,trend_slope_20,trend_following
0.4538521016820694,0.5257696732828617,0.07918226118839145,0.22209356782012873,-0.389859278380027,0.2031047241384443,0.3137074517019319,0.37790476951647567,9.553669342826806,0.1348366313851818,8.768707482993197,1.5069195423557127,vol_lowtrend_20_20_0.6,volatility_regime
