feature,ic,abs_ic,ic_tstat,ic_stability,coverage
rolling_kurt_14,-0.05389281887286421,0.05389281887286421,-2.506614689944763,0.8857442348008385,0.9931002759889604
vol_of_vol_252,0.051833109307889015,0.051833109307889015,2.119773570864532,0.6025369978858351,0.7681692732290708
vol_of_vol_120,0.05150258386746246,0.05150258386746246,2.266779784393149,0.6262626262626263,0.889604415823367
vol_60,0.046887377837290814,0.046887377837290814,2.156641559334862,0.8404940923737916,0.9719411223551058
rv_60,0.04688737783729078,0.04688737783729078,2.1566415593348602,0.8404940923737916,0.9719411223551058
ret_lag_20,0.04587916531257276,0.04587916531257276,2.1295718261898213,0.7190952130457654,0.9898804047838087
rolling_kurt_20,-0.045250919973743385,0.045250919973743385,-2.100838727473028,0.841745531019979,0.9903403863845446
log_ret_lag_20,0.04492573621763045,0.04492573621763045,2.0852260830370746,0.7190952130457654,0.9898804047838087
is_month_03,-0.04358273081585986,0.04358273081585986,-2.0326247252291547,0.5057232049947971,0.999540018399264
slope_120,-0.04274696409756187,0.04274696409756187,-1.938166627760461,0.8369384359400999,0.9448022079116836
log_ret_lag_3,0.04270257642824873,0.04270257642824873,1.9896645673815012,0.6730969760166841,0.9977000919963201
rolling_kurt_7,-0.041937907155804935,0.041937907155804935,-1.952619554955788,0.8835509138381201,0.9963201471941122
rolling_skew_180,-0.04130174933684759,0.04130174933684759,-1.8444836512259903,0.6228473019517795,0.9167433302667893
rolling_skew_252,-0.04119907764814436,0.04119907764814436,-1.806316594311366,0.5838323353293413,0.8836246550137995
ret_lag_3,0.04106896794280577,0.04106896794280577,1.9134177909207972,0.6699687174139729,0.9977000919963201
ac1_60,-0.040948148091702406,0.040948148091702406,-1.8825213067585955,0.6990865126276196,0.9714811407543699
vol_90,0.03971966165101818,0.03971966165101818,1.8133616786100668,0.7811135371179039,0.9581416743330267
rv_90,0.03971966165101818,0.03971966165101818,1.8133616786100668,0.7811135371179039,0.9581416743330267
var_ratio_14,-0.03966537582843381,0.03966537582843381,-1.835512472539595,0.7517204870301747,0.984360625574977
rolling_kurt_120,-0.03918119246231644,0.03918119246231644,-1.7758001681410733,0.7430632630410655,0.9443422263109476
is_dow_3,0.038999677636997215,0.038999677636997215,1.8185341285556216,0.7648283038501561,0.999540018399264
vol_pct_180,-0.03795796496723115,0.03795796496723115,-1.5844941411392353,0.7310529845741114,0.8012879484820608
vol_42,0.03717879715301281,0.03717879715301281,1.7166569963994691,0.7414893617021276,0.9802207911683533
rv_42,0.03717879715301281,0.03717879715301281,1.7166569963994691,0.7414893617021276,0.9802207911683533
ret_lag_10,-0.03703455614905945,0.03703455614905945,-1.7223922163980454,0.6886446886446886,0.9944802207911684
log_ret_lag_10,-0.0364172018705499,0.0364172018705499,-1.6936420336189955,0.6896912611198326,0.9944802207911684
hurst_60,-0.036385979190573084,0.036385979190573084,-1.6732803231299125,0.7316156736446592,0.9724011039558418
vol_40,0.03633408768057468,0.03633408768057468,1.678389850175445,0.7369819341126461,0.9811407543698252
rv_40,0.036334087680574646,0.036334087680574646,1.6783898501754433,0.7369819341126461,0.9811407543698252
vol_3,0.03591879274329126,0.03591879274329126,1.673523078097024,0.6784783741532048,0.9981600735970562
rv_3,0.035918792743291246,0.035918792743291246,1.6735230780970234,0.6784783741532048,0.9981600735970562
var_ratio_10,-0.035037533464742386,0.035037533464742386,-1.6225944971194193,0.7786582144743793,0.9862005519779209
log_ret_sum_90,-0.03502117182504836,0.03502117182504836,-1.598575691086114,0.8804585152838428,0.9581416743330267
distance_low_2,0.034567212127190265,0.034567212127190265,1.6112162909354568,0.6777719937532535,0.9990800367985281
rolling_kurt_180,-0.03409780265707248,0.03409780265707248,-1.522350444149832,0.6394948335246843,0.9167433302667893
rv_252,0.03385718225385784,0.03385718225385784,1.4840118173223655,0.6329341317365269,0.8836246550137995
vol_252,0.03385718225385783,0.03385718225385783,1.484011817322365,0.6329341317365269,0.8836246550137995
ret_lag_1,-0.03312396505054294,0.03312396505054294,-1.5435136619537613,0.6729166666666667,0.9986200551977921
var_ratio_120,0.032943900480025406,0.032943900480025406,1.4488198127452852,0.5935828877005348,0.889604415823367
log_ret_lag_1,-0.03240549589754407,0.03240549589754407,-1.509998783614016,0.6729166666666667,0.9986200551977921
ac5_7,0.03234390633743848,0.03234390633743848,1.5036476317980387,0.6298429319371728,0.9940202391904324
log_ret_lag_5,-0.03177097562726548,0.03177097562726548,-1.4790361867328374,0.6236951983298539,0.9967801287948482
ac5_3,0.03164085595450181,0.03164085595450181,1.472292120542548,0.7445141065830722,0.9958601655933763
ret_lag_5,-0.03145864003914205,0.03145864003914205,-1.4644815333868362,0.6247390396659708,0.9967801287948482
slope_90,-0.03140622845096853,0.03140622845096853,-1.4337401167268375,0.839607201309329,0.9586016559337627
drawdown_3,-0.030906378213268096,0.030906378213268096,-1.44007599148349,0.7182291666666667,0.9986200551977921
distance_high_3,-0.030906378213268096,0.030906378213268096,-1.44007599148349,0.7182291666666667,0.9986200551977921
vol_2,0.030651432133693313,0.030651432133693313,1.4281856165969082,0.6682291666666667,0.9986200551977921
rv_2,0.030651432133693292,0.030651432133693292,1.4281856165969073,0.6682291666666667,0.9986200551977921
rolling_skew_10,0.03051161443435151,0.03051161443435151,1.419040597403687,0.6924686192468619,0.9949402023919043
distance_high_252,-0.03044889337002701,0.03044889337002701,-1.3348225839156767,0.9245960502692998,0.8840846366145354
drawdown_252,-0.03044889337002701,0.03044889337002701,-1.3348225839156767,0.9245960502692998,0.8840846366145354
